"id","title","price","audit_status","audit_reason","link"
"1702412924","Ciddi Aliciysan Yaz Bulasik Camasir Makinesi Kirec Kirici Aparat
","500 TL","flagged","Yasaklı kelime: ""elden teslim""","https://www.letgo.com/item/ciddi-aliciysan-yaz-bulasik-camasir-makinesi-kirec-kirici-aparat-iid-1702412924"
"1695825151","PERGE YATAK ODASI TAKIMI YATAK BAZA DAHİL
","1 TL","flagged","Ticari Satıcı: ""kredi kartı""","https://www.letgo.com/item/perge-yatak-odasi-takimi-yatak-baza-dahil-iid-1695825151"
"1723625477","tek kişilik yatak. baza başlık olarak
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/tek-kisilik-yatak-baza-baslk-olarak-iid-1723625477"
"1723882275","yatak odası takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/yatak-odas-takm-iid-1723882275"
"1723855403","yatak odası takımı
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/yatak-odas-takm-iid-1723855403"
"1722174011","Tek kişilik yatak baza
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/tek-kisilik-yatak-baza-iid-1722174011"
"1723854341","hurda çamaşır makinesi buzdolabı kombi yatak baza alınır","10 TL","flagged","Gerçekçi Olmayan Fiyat: 10 TL","https://www.letgo.com/item/hurda-camasr-makinesi-buzdolab-kombi-yatak-baza-alnr-iid-1723854341"
"1703422141","baza başlık yatak
","1 TL","flagged","Yasaklı kelime: ""000 tl""","https://www.letgo.com/item/baza-baslk-yatak-iid-1703422141"
"1723866659","baza yatak başlık 4 lü dolap
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/baza-yatak-baslk-4-lu-dolap-iid-1723866659"
"1668860349","İmalattan Baza Yatak Başlık Modelleri
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/imalattan-baza-yatak-baslk-modelleri-iid-1668860349"
"1722121659","sıfır baza yatak baslık 4 lü dolap
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/sfr-baza-yatak-baslk-4-lu-dolap-iid-1722121659"
"1719879772","yatak , baza , başlık .
","1 TL","flagged","Ticari Satıcı: ""sipariş""","https://www.letgo.com/item/yatak-baza-baslk-iid-1719879772"
"1695825207","YATAK ODASI TAKIMI YATAK BAZA DAHİL
","1 TL","flagged","Ticari Satıcı: ""kredi kartı""","https://www.letgo.com/item/yatak-odasi-takimi-yatak-baza-dahil-iid-1695825207"
"1723586564","baza başlık yatak çift kişilik tek kişilik","99 TL","flagged","Yasaklı kelime: ""iletişime geçin""","https://www.letgo.com/item/baza-baslk-yatak-cift-kisilik-tek-kisilik-iid-1723586564"
"1723881876","koltuk takımı oturma gurubu
","1 TL","flagged","Bedava kanıtı yok (Fake Free)","https://www.letgo.com/item/koltuk-takm-oturma-gurubu-iid-1723881876"
"1723881730","koltuk takımı oturma gurubu
","1 TL","flagged","Yasaklı kelime: ""iletişime geçin""","https://www.letgo.com/item/koltuk-takm-oturma-gurubu-iid-1723881730"
"1709333262","vera koltuk takımı
","1 TL","flagged","Ticari Satıcı: ""mağaza""","https://www.letgo.com/item/vera-koltuk-takm-iid-1709333262"
"1709333486","arya koltuk takımı
","1 TL","flagged","Ticari Satıcı: ""mağaza""","https://www.letgo.com/item/arya-koltuk-takm-iid-1709333486"
"1723971326","düğün paketi koltuk yatak odası takımı
","1 TL","flagged","Yasaklı kelime: ""iletişime geçin""","https://www.letgo.com/item/dugun-paketi-koltuk-yatak-odas-takm-iid-1723971326"
